,Month,ET
268,May,3.9748046875
269,June,4.6150390625
270,July,4.00703125
271,August,3.2896484375000004
272,September,2.6708333333333334
273,October,2.4312500000000004
274,November,2.3853515625000004
275,December,2.3912109375000004
276,January,3.2970703125000003
277,February,3.246875
278,March,3.5503906250000004
279,April,4.43125
