oldMonth,RF_in,Month,RF
January,5.159645812426399,May,2.5894663692707294
February,4.503360535224917,June,2.0471091927151646
March,4.829100145989411,July,2.648716713057073
April,3.3357044663226794,August,2.0812290408710123
May,2.5894663692707294,September,1.898530661696719
June,2.0471091927151646,October,3.325916094759424
July,2.648716713057073,November,4.563775797758781
August,2.0812290408710123,December,5.299817681613639
September,1.898530661696719,January,5.159645812426399
October,3.325916094759424,February,4.503360535224917
November,4.563775797758781,March,4.829100145989411
December,5.299817681613639,April,3.3357044663226794
