oldMonth,oldNDVI,Month,NDVI
January,0.5365827646255493,November,0.5190390825271607
February,0.543282901763916,December,0.5124008483886718
March,0.5586912307739258,January,0.5365827646255493
April,0.5285769288356488,February,0.543282901763916
May,0.5240639383976275,March,0.5586912307739258
June,0.5167786928323599,April,0.5285769288356488
July,0.46783552353198715,May,0.5240639383976275
August,0.46668010583290687,June,0.5167786928323599
September,0.4903065378849323,July,0.46783552353198715
October,0.48294569253921504,August,0.46668010583290687
November,0.5190390825271607,September,0.4903065378849323
December,0.5124008483886718,October,0.48294569253921504
