,oldMonth,OldTemp,Month,Temp
0,January,62.21554065823688,May,64.78655503972514
1,February,61.679896023315024,June,65.98921460177485
2,March,62.23998329284606,July,67.20538890729459
3,April,63.258130569284766,August,67.6965450687859
4,May,64.78655503972514,September,67.25827297384839
5,June,65.98921460177485,October,66.76285825043063
6,July,67.20538890729459,November,65.15442802411852
7,August,67.6965450687859,December,63.203756529360675
8,September,67.25827297384839,January,62.21554065823688
9,October,66.76285825043063,February,61.679896023315024
10,November,65.15442802411852,March,62.23998329284606
11,December,63.203756529360675,April,63.258130569284766
