oldMonth,oldNDVI,Month,NDVI
January,0.6750650646068432,November,0.5769721476236979
February,0.6289030984007282,December,0.6156550362669391
March,0.5591988156165606,January,0.6750650646068432
April,0.5407186872259504,February,0.6289030984007282
May,0.5761372891359972,March,0.5591988156165606
June,0.555607866357874,April,0.5407186872259504
July,0.5462604932069552,May,0.5761372891359972
August,0.5541653338773751,June,0.555607866357874
September,0.5912238118315695,July,0.5462604932069552
October,0.5643786478359588,August,0.5541653338773751
November,0.5769721476236979,September,0.5912238118315695
December,0.6156550362669391,October,0.5643786478359588
