oldMonth,RF_in,Month,RF
January,9.04088679751271,May,7.3661985115213
February,8.748157768379023,June,6.4900318686466685
March,12.418018368231863,July,8.89301081925593
April,10.910171820131248,August,7.928710371715965
May,7.3661985115213,September,4.68104480996753
June,6.4900318686466685,October,6.1504652568847415
July,8.89301081925593,November,9.916112705659339
August,7.928710371715965,December,10.330028299509918
September,4.68104480996753,January,9.04088679751271
October,6.1504652568847415,February,8.748157768379023
November,9.916112705659339,March,12.418018368231863
December,10.330028299509918,April,10.910171820131248
