oldMonth,RF_in,Month,RF
January,16.08080606758992,May,13.589147885341353
February,14.539446438560981,June,11.580514464051461
March,21.021761161431215,July,14.663754005415129
April,20.1399483517245,August,16.731650864224523
May,13.589147885341353,September,13.391332252769564
June,11.580514464051461,October,14.568611149679358
July,14.663754005415129,November,19.4629298103582
August,16.731650864224523,December,17.621271928143578
September,13.391332252769564,January,16.08080606758992
October,14.568611149679358,February,14.539446438560981
November,19.4629298103582,March,21.021761161431215
December,17.621271928143578,April,20.1399483517245
