oldMonth,oldNDVI,Month,NDVI
January,0.6840540313720703,November,0.6280608654022217
February,0.6085890918307834,December,0.6432843218909369
March,0.5397222921583388,January,0.6840540313720703
April,0.4958950770206941,February,0.6085890918307834
May,0.5328893834709102,March,0.5397222921583388
June,0.5661202088380471,April,0.4958950770206941
July,0.5974196674477341,May,0.5328893834709102
August,0.5714372528923882,June,0.5661202088380471
September,0.5583923443769797,July,0.5974196674477341
October,0.5982293542633709,August,0.5714372528923882
November,0.6280608654022217,September,0.5583923443769797
December,0.6432843218909369,October,0.5982293542633709
