,oldMonth,oldNDVI,Month,NDVI
0,January,0.6319832772166106,February,0.6034361245303275
1,February,0.6034361245303275,March,0.593849785292539
2,March,0.593849785292539,April,0.5634577294685991
3,April,0.5634577294685991,May,0.5090535493827161
4,May,0.5090535493827161,June,0.45796826131687246
5,June,0.45796826131687246,July,0.4328548353909465
6,July,0.4328548353909465,August,0.4223981224279835
7,August,0.4223981224279835,September,0.42962060185185186
8,September,0.42962060185185186,October,0.45239320987654325
9,October,0.45239320987654325,November,0.5223197273662551
10,November,0.5223197273662551,December,0.592316639828234
11,December,0.592316639828234,January,0.6319832772166106
