,oldMonth,OldTemp,Month,Temp
0,January,68.41014511937757,May,71.48701318891557
1,February,68.1035774614572,June,73.17004610107954
2,March,68.63450132186621,July,74.14069619210203
3,April,69.9770609899496,August,74.80267012557293
4,May,71.48701318891557,September,74.5557005074975
5,June,73.17004610107954,October,73.7574325053401
6,July,74.14069619210203,November,71.91609494922302
7,August,74.80267012557293,December,69.84889141405472
8,September,74.5557005074975,January,68.41014511937757
9,October,73.7574325053401,February,68.1035774614572
10,November,71.91609494922302,March,68.63450132186621
11,December,69.84889141405472,April,69.9770609899496
