,Month,Temp,Year,datetime
126,7.0,75.66816134982639,,2000-07-01
127,8.0,76.22130533854167,,2000-08-01
128,9.0,75.24652235243056,,2000-09-01
129,10.0,76.09574652777778,,2000-10-01
130,11.0,73.08921983506944,,2000-11-01
131,12.0,72.6220703125,,2000-12-01
132,1.0,73.47628038194445,,2001-01-01
133,2.0,70.05162760416667,,2001-02-01
134,3.0,70.83551432291667,,2001-03-01
135,4.0,70.89074978298612,,2001-04-01
136,5.0,72.78385145399307,,2001-05-01
137,6.0,74.37529296874999,,2001-06-01
138,7.0,76.35929361979166,,2001-07-01
139,8.0,77.59122721354166,,2001-08-01
140,9.0,77.19191080729166,,2001-09-01
141,10.0,75.59267035590278,,2001-10-01
142,11.0,74.76355251736112,,2001-11-01
143,12.0,71.16770833333334,,2001-12-01
144,1.0,71.04423014322917,,2002-01-01
145,2.0,70.31465386284722,,2002-02-01
146,3.0,71.86610785590278,,2002-03-01
147,4.0,73.12955729166667,,2002-04-01
148,5.0,73.51016438802083,,2002-05-01
149,6.0,75.64000651041667,,2002-06-01
150,7.0,76.45935872395833,,2002-07-01
151,8.0,76.76080186631944,,2002-08-01
152,9.0,74.60684136284723,,2002-09-01
153,10.0,75.60592719184028,,2002-10-01
154,11.0,75.52591145833334,,2002-11-01
155,12.0,73.09395887586805,,2002-12-01
156,1.0,72.48884006076389,,2003-01-01
157,2.0,71.32874891493056,,2003-02-01
158,3.0,73.39141710069444,,2003-03-01
159,4.0,71.45798068576389,,2003-04-01
160,5.0,75.83206922743057,,2003-05-01
161,6.0,75.33562554253473,,2003-06-01
162,7.0,76.98129611545139,,2003-07-01
163,8.0,77.75341796875,,2003-08-01
164,9.0,77.08335503472222,,2003-09-01
165,10.0,77.09530164930555,,2003-10-01
166,11.0,73.4048611111111,,2003-11-01
167,12.0,72.47705891927083,,2003-12-01
168,1.0,71.64229058159722,,2004-01-01
169,2.0,72.87301432291667,,2004-02-01
170,3.0,71.15500217013889,,2004-03-01
171,4.0,71.72362738715279,,2004-04-01
172,5.0,74.68745388454862,,2004-05-01
173,6.0,75.26553548177084,,2004-06-01
174,7.0,76.28147786458334,,2004-07-01
175,8.0,77.71334092881945,,2004-08-01
176,9.0,77.35329861111111,,2004-09-01
177,10.0,76.02024197048611,,2004-10-01
178,11.0,74.41324327256945,,2004-11-01
179,12.0,71.83736979166667,,2004-12-01
180,1.0,72.39417046440971,,2005-01-01
181,2.0,71.40109049479167,,2005-02-01
182,3.0,71.62242024739584,,2005-03-01
183,4.0,72.61704644097222,,2005-04-01
184,5.0,75.37786458333333,,2005-05-01
185,6.0,74.79657118055556,,2005-06-01
186,7.0,76.71268174913195,,2005-07-01
187,8.0,76.91794704861111,,2005-08-01
188,9.0,76.87922634548612,,2005-09-01
189,10.0,74.54265950520833,,2005-10-01
190,11.0,74.22759874131944,,2005-11-01
191,12.0,74.53978407118055,,2005-12-01
192,1.0,72.10047471788195,,2006-01-01
193,2.0,69.59788411458334,,2006-02-01
194,3.0,69.77977973090277,,2006-03-01
195,4.0,70.64835611979166,,2006-04-01
196,5.0,71.13841959635417,,2006-05-01
197,6.0,74.91673719618055,,2006-06-01
198,7.0,76.39390190972222,,2006-07-01
199,8.0,77.02096354166667,,2006-08-01
200,9.0,75.96833224826389,,2006-09-01
201,10.0,76.03937717013889,,2006-10-01
202,11.0,75.75835774739583,,2006-11-01
203,12.0,73.553271484375,,2006-12-01
204,1.0,70.834375,,2007-01-01
205,2.0,69.58479817708334,,2007-02-01
206,3.0,70.40942654079862,,2007-03-01
207,4.0,70.56675889756944,,2007-04-01
208,5.0,72.67454698350694,,2007-05-01
209,6.0,74.11277398003472,,2007-06-01
210,7.0,75.68251139322916,,2007-07-01
211,8.0,74.34122178819445,,2007-08-01
212,9.0,73.991796875,,2007-09-01
213,10.0,73.2856906467014,,2007-10-01
214,11.0,72.66075846354167,,2007-11-01
215,12.0,68.88543294270833,,2007-12-01
216,1.0,68.38083224826389,,2008-01-01
217,2.0,69.04546983506944,,2008-02-01
218,3.0,70.731982421875,,2008-03-01
219,4.0,70.55767686631944,,2008-04-01
220,5.0,71.04929470486111,,2008-05-01
221,6.0,72.8351806640625,,2008-06-01
222,7.0,73.95643174913195,,2008-07-01
223,8.0,74.39491102430556,,2008-08-01
224,9.0,73.38340928819446,,2008-09-01
225,10.0,73.34021267361112,,2008-10-01
226,11.0,72.0789794921875,,2008-11-01
227,12.0,69.76139594184028,,2008-12-01
228,1.0,69.157470703125,,2009-01-01
229,2.0,68.21131184895833,,2009-02-01
230,3.0,67.22774251302084,,2009-03-01
231,4.0,69.27452799479167,,2009-04-01
232,5.0,72.73283962673611,,2009-05-01
233,6.0,74.435400390625,,2009-06-01
234,7.0,74.83113335503472,,2009-07-01
235,8.0,76.55172526041667,,2009-08-01
236,9.0,75.45745442708333,,2009-09-01
237,10.0,76.1400607638889,,2009-10-01
238,11.0,72.29458279079861,,2009-11-01
239,12.0,72.71413302951389,,2009-12-01
240,1.0,73.86787380642362,,2010-01-01
241,2.0,71.49276258680555,,2010-02-01
242,3.0,68.96795247395833,,2010-03-01
243,4.0,69.82574055989583,,2010-04-01
244,5.0,72.57349446614583,,2010-05-01
245,6.0,73.89204644097222,,2010-06-01
246,7.0,73.80030653211806,,2010-07-01
247,8.0,74.86051703559028,,2010-08-01
248,9.0,74.9429172092014,,2010-09-01
249,10.0,74.22356770833333,,2010-10-01
250,11.0,72.38846028645833,,2010-11-01
251,12.0,71.98373480902778,,2010-12-01
252,1.0,70.91189507378472,,2011-01-01
253,2.0,72.14950358072917,,2011-02-01
254,3.0,72.07816297743057,,2011-03-01
255,4.0,72.08027615017362,,2011-04-01
256,5.0,72.44359266493055,,2011-05-01
257,6.0,73.56771375868055,,2011-06-01
258,7.0,74.45724826388889,,2011-07-01
259,8.0,75.63401150173611,,2011-08-01
260,9.0,74.74383680555556,,2011-09-01
261,10.0,74.11531304253472,,2011-10-01
262,11.0,72.01897243923611,,2011-11-01
263,12.0,70.01692979600693,,2011-12-01
264,1.0,71.68317057291667,,2012-01-01
265,2.0,70.07773166232639,,2012-02-01
266,3.0,69.41790907118056,,2012-03-01
267,4.0,70.50961371527778,,2012-04-01
268,5.0,71.77326931423612,,2012-05-01
269,6.0,73.1478515625,,2012-06-01
270,7.0,73.63340386284722,,2012-07-01
271,8.0,74.56444498697917,,2012-08-01
272,9.0,73.32867296006944,,2012-09-01
273,10.0,75.5382080078125,,2012-10-01
274,11.0,72.03658311631945,,2012-11-01
275,12.0,70.97350802951388,,2012-12-01
276,1.0,69.71918131510418,,2013-01-01
277,2.0,68.53464084201389,,2013-02-01
278,3.0,69.44305555555556,,2013-03-01
279,4.0,72.61072591145833,,2013-04-01
280,5.0,72.79874674479167,,2013-05-01
281,6.0,74.51126573350695,,2013-06-01
282,7.0,75.32696668836806,,2013-07-01
283,8.0,76.1319580078125,,2013-08-01
284,9.0,75.26803927951389,,2013-09-01
285,10.0,75.12229275173613,,2013-10-01
286,11.0,73.95077039930555,,2013-11-01
287,12.0,72.39585503472222,,2013-12-01
288,1.0,70.2382052951389,,2014-01-01
289,2.0,72.85420464409722,,2014-02-01
290,3.0,71.40013563368055,,2014-03-01
291,4.0,72.12848849826389,,2014-04-01
292,5.0,73.16648763020834,,2014-05-01
293,6.0,74.09876302083333,,2014-06-01
294,7.0,76.42819552951389,,2014-07-01
295,8.0,76.63452690972223,,2014-08-01
296,9.0,76.85191514756944,,2014-09-01
297,10.0,75.79398057725695,,2014-10-01
298,11.0,73.82607964409722,,2014-11-01
299,12.0,72.23752712673611,,2014-12-01
300,1.0,72.72595486111112,,2015-01-01
301,2.0,73.34577365451389,,2015-02-01
302,3.0,69.47609049479166,,2015-03-01
303,4.0,71.63498806423611,,2015-04-01
304,5.0,70.96692437065973,,2015-05-01
305,6.0,73.94128146701388,,2015-06-01
306,7.0,76.66172146267361,,2015-07-01
307,8.0,77.31389431423611,,2015-08-01
308,9.0,76.86053059895833,,2015-09-01
309,10.0,76.87204861111111,,2015-10-01
310,11.0,73.95941840277777,,2015-11-01
311,12.0,72.30012478298612,,2015-12-01
312,1.0,72.39616970486111,,2016-01-01
313,2.0,71.01620551215278,,2016-02-01
314,3.0,70.85358072916667,,2016-03-01
315,4.0,71.19548611111111,,2016-04-01
316,5.0,71.62166883680555,,2016-05-01
317,6.0,73.1066134982639,,2016-06-01
318,7.0,76.08181966145834,,2016-07-01
319,8.0,76.1446994357639,,2016-08-01
320,9.0,75.34126519097222,,2016-09-01
321,10.0,73.27342664930555,,2016-10-01
322,11.0,72.20653754340279,,2016-11-01
323,12.0,69.14009331597222,,2016-12-01
324,1.0,70.77586805555555,,2017-01-01
325,2.0,70.54890679253472,,2017-02-01
326,3.0,73.25078124999999,,2017-03-01
327,4.0,72.22645670572916,,2017-04-01
328,5.0,72.52215169270833,,2017-05-01
329,6.0,74.23611111111111,,2017-06-01
330,7.0,75.67267795138889,,2017-07-01
331,8.0,76.38861219618056,,2017-08-01
332,9.0,75.19461805555555,,2017-09-01
333,10.0,74.16869574652779,,2017-10-01
334,11.0,71.17398546006945,,2017-11-01
335,12.0,69.51924370659722,,2017-12-01
336,1.0,70.96765407986112,,2018-01-01
337,2.0,70.06196017795139,,2018-02-01
338,3.0,69.04688042534723,,2018-03-01
339,4.0,71.72374131944444,,2018-04-01
340,5.0,72.67980143229167,,2018-05-01
341,6.0,73.82261284722222,,2018-06-01
342,7.0,75.55379231770834,,2018-07-01
343,8.0,76.09933810763889,,2018-08-01
344,9.0,76.5865017361111,,2018-09-01
345,10.0,74.71580403645834,,2018-10-01
346,11.0,73.62000325520833,,2018-11-01
347,12.0,71.5448459201389,,2018-12-01
348,1.0,70.74896375868056,,2019-01-01
349,2.0,68.1795193142361,,2019-02-01
350,3.0,70.33984375,,2019-03-01
351,4.0,72.0999294704861,,2019-04-01
352,5.0,74.06503363715278,,2019-05-01
353,6.0,75.58506401909722,,2019-06-01
354,7.0,76.83616807725694,,2019-07-01
355,8.0,77.63082139756945,,2019-08-01
356,9.0,77.16943630642362,,2019-09-01
357,10.0,75.62636176215278,,2019-10-01
358,11.0,75.03663194444445,,2019-11-01
359,12.0,72.55544162326389,,2019-12-01
360,1.0,71.08990071614583,,2020-01-01
361,2.0,70.0158203125,,2020-02-01
362,3.0,69.99125162760417,,2020-03-01
