,oldMonth,tmean_f,Month,Temp
0,January,62.0038498703782,February,61.46665973427855
1,February,61.46665973427855,March,62.03519746756849
2,March,62.03519746756849,April,63.00316900559413
3,April,63.00316900559413,May,64.31009318033854
4,May,64.31009318033854,June,65.54623835057389
5,June,65.54623835057389,July,66.87825445481288
6,July,66.87825445481288,August,67.47950002411265
7,August,67.47950002411265,September,66.99478134343653
8,September,66.99478134343653,October,66.42167486496913
9,October,66.42167486496913,November,64.87173032407408
10,November,64.87173032407408,December,62.95279654043692
11,December,62.95279654043692,January,62.0038498703782
