oldMonth,RF_in,Month,RF
January,7.797273481342037,February,6.7262416114534895
February,6.7262416114534895,March,8.960388471075627
March,8.960388471075627,April,7.671542588333563
April,7.671542588333563,May,4.916783548759714
May,4.916783548759714,June,4.085047342372094
June,4.085047342372094,July,5.556582293494371
July,5.556582293494371,August,5.334324289629955
August,5.334324289629955,September,3.140302552244932
September,3.140302552244932,October,4.379411136798737
October,4.379411136798737,November,7.40614924879714
November,7.40614924879714,December,7.953733777129048
December,7.953733777129048,January,7.797273481342037
