oldMonth,RF_in,Month,RF
January,3.462143145422121,March,3.636511733324278
February,2.5557881386786696,April,4.949844701441762
March,3.636511733324278,May,5.685185489616487
April,4.949844701441762,June,5.236933853727268
May,5.685185489616487,July,5.947172374372439
June,5.236933853727268,August,6.282426447996084
July,5.947172374372439,September,6.349785266506401
August,6.282426447996084,October,4.572249843733364
September,6.349785266506401,November,3.2022822567417433
October,4.572249843733364,December,2.8686759000931996
November,3.2022822567417433,January,3.462143145422121
December,2.8686759000931996,February,2.5557881386786696
