Unnamed: 0,Year,Month,ET,datetime
262,2022.0,November,2.9125,2022-11-01
263,2022.0,December,2.7163411458333337,2022-12-01
264,2023.0,January,2.7732421875,2023-01-01
265,2023.0,February,2.5517578125,2023-02-01
266,2023.0,March,3.4396484375,2023-03-01
267,2023.0,April,3.8552083333333336,2023-04-01
268,2023.0,May,3.7814453125,2023-05-01
269,2023.0,June,4.03359375,2023-06-01
270,2023.0,July,4.164453125,2023-07-01
271,2023.0,August,4.11953125,2023-08-01
272,2023.0,September,3.8752604166666673,2023-09-01
273,2023.0,October,3.61328125,2023-10-01
