oldMonth,oldNDVI,Month,NDVI
January,0.5724216150354455,November,0.489936333173587
February,0.5580877807993948,December,0.5296735740002291
March,0.5195952672134211,January,0.5724216150354455
April,0.5037302748996194,February,0.5580877807993948
May,0.49104265609697734,March,0.5195952672134211
June,0.5104848457763903,April,0.5037302748996194
July,0.4685581955361796,May,0.49104265609697734
August,0.46219013174261686,June,0.5104848457763903
September,0.4609028960225249,July,0.4685581955361796
October,0.4592225137259546,August,0.46219013174261686
November,0.489936333173587,September,0.4609028960225249
December,0.5296735740002291,October,0.4592225137259546
