Year,Month,Temp
1990.0,1.0,52.86609157986111
1990.0,2.0,49.874750434027774
1990.0,3.0,50.74729817708334
1990.0,4.0,52.65947265625
1990.0,5.0,53.875759548611114
1990.0,6.0,54.88553602430555
1990.0,7.0,56.60458984375
1990.0,8.0,57.65607638888889
1990.0,9.0,58.308374023437494
1990.0,10.0,56.63465169270833
1990.0,11.0,57.10702582465278
1990.0,12.0,52.91574164496528
1991.0,1.0,49.40811903211806
1991.0,2.0,50.464466688368056
1991.0,3.0,52.06446668836806
1991.0,4.0,52.24295789930555
1991.0,5.0,53.27789171006945
1991.0,6.0,53.96151529947917
1991.0,7.0,55.55391710069445
1991.0,8.0,58.74378255208333
1991.0,9.0,55.43621690538194
1991.0,10.0,53.314005533854164
1991.0,11.0,54.02513699001736
1991.0,12.0,52.104248046875
1992.0,1.0,48.155208333333334
1992.0,2.0,49.13981526692709
1992.0,3.0,50.356724717881946
1992.0,4.0,50.71843668619792
1992.0,5.0,54.11888970269097
1992.0,6.0,56.97481011284722
1992.0,7.0,57.66169704861112
1992.0,8.0,58.54219835069445
1992.0,9.0,59.29657660590278
1992.0,10.0,57.4359375
1992.0,11.0,56.47135959201389
1992.0,12.0,54.110660807291666
1993.0,1.0,49.617686631944444
1993.0,2.0,49.1192626953125
1993.0,3.0,51.23457166883681
1993.0,4.0,53.56472981770833
1993.0,5.0,53.406987847222226
1993.0,6.0,55.74192165798611
1993.0,7.0,57.39097222222222
1993.0,8.0,57.750979275173606
1993.0,9.0,57.38328179253472
1993.0,10.0,56.18827582465278
1993.0,11.0,52.861353895399304
1993.0,12.0,50.22449408637153
1994.0,1.0,48.707568359375
1994.0,2.0,52.04831814236111
1994.0,3.0,51.69431423611111
1994.0,4.0,52.76564670138889
1994.0,5.0,54.147488064236114
1994.0,6.0,55.67735460069444
1994.0,7.0,58.869989691840274
1994.0,8.0,58.66458875868055
1994.0,9.0,58.586146375868054
1994.0,10.0,55.50636393229166
1994.0,11.0,55.665858289930554
1994.0,12.0,51.15383978949653
1995.0,1.0,51.617046440972224
1995.0,2.0,50.55565592447917
1995.0,3.0,52.541479492187506
1995.0,4.0,53.11922064887153
1995.0,5.0,54.32616916232639
1995.0,6.0,55.18077256944444
1995.0,7.0,57.00904947916666
1995.0,8.0,56.88066948784722
1995.0,9.0,55.902880859375
1995.0,10.0,56.612055121527774
1995.0,11.0,55.8841796875
1995.0,12.0,54.243444824218756
1996.0,1.0,53.69405110677083
1996.0,2.0,51.1320556640625
1996.0,3.0,51.479999457465276
1996.0,4.0,54.49946967230903
1996.0,5.0,56.52897677951388
1996.0,6.0,57.37776150173612
1996.0,7.0,58.102718098958334
1996.0,8.0,57.63547905815972
1996.0,9.0,58.00619574652778
1996.0,10.0,57.28581814236111
1996.0,11.0,57.330029296875
1996.0,12.0,53.586064995659726
1997.0,1.0,52.578222656250006
1997.0,2.0,51.258892144097224
1997.0,3.0,53.810428873697916
1997.0,4.0,53.158360460069446
1997.0,5.0,54.72180989583333
1997.0,6.0,57.54391547309028
1997.0,7.0,57.910039605034726
1997.0,8.0,57.32566189236111
1997.0,9.0,58.180598958333334
1997.0,10.0,56.24513075086806
1997.0,11.0,54.88894856770833
1997.0,12.0,51.828344726562506
1998.0,1.0,50.44573974609375
1998.0,2.0,50.41248914930556
1998.0,3.0,51.691989474826386
1998.0,4.0,52.45474446614583
1998.0,5.0,52.99969482421875
1998.0,6.0,54.87987738715278
1998.0,7.0,55.491465928819444
1998.0,8.0,56.41930338541667
1998.0,9.0,56.589594184027774
1998.0,10.0,56.73728841145834
1998.0,11.0,55.61216634114584
1998.0,12.0,53.656886121961804
1999.0,1.0,52.91363661024306
1999.0,2.0,52.078982204861106
1999.0,3.0,52.081975640190976
1999.0,4.0,51.83863118489583
1999.0,5.0,53.88921169704861
1999.0,6.0,54.3086927625868
1999.0,7.0,55.14704318576389
1999.0,8.0,56.3318359375
1999.0,9.0,55.79934895833333
1999.0,10.0,55.40033094618056
1999.0,11.0,54.35750596788195
1999.0,12.0,53.20804036458333
2000.0,1.0,50.89540473090278
2000.0,2.0,51.84989963107638
2000.0,3.0,51.784543185763894
2000.0,4.0,52.643880208333336
2000.0,5.0,54.83691677517361
2000.0,6.0,55.60179307725694
2000.0,7.0,58.04183756510417
2000.0,8.0,57.886083984375
2000.0,9.0,57.49476453993056
2000.0,10.0,56.96758897569444
2000.0,11.0,55.395472547743054
2000.0,12.0,51.85304090711806
2001.0,1.0,52.57019992404514
2001.0,2.0,51.77227783203125
2001.0,3.0,51.41940239800347
2001.0,4.0,53.66493869357639
2001.0,5.0,53.789073350694444
2001.0,6.0,56.00295138888889
2001.0,7.0,57.44276801215278
2001.0,8.0,58.64423828125
2001.0,9.0,57.79756944444445
2001.0,10.0,56.47258843315973
2001.0,11.0,56.831263563368054
2001.0,12.0,54.22841254340278
2002.0,1.0,53.02518446180555
2002.0,2.0,50.295102267795144
2002.0,3.0,51.62480061848959
2002.0,4.0,54.96756727430555
2002.0,5.0,56.55089518229167
2002.0,6.0,56.59444986979167
2002.0,7.0,58.00145670572917
2002.0,8.0,58.43275282118056
2002.0,9.0,57.08189561631944
2002.0,10.0,57.05596788194444
2002.0,11.0,53.995883517795136
2002.0,12.0,52.35063069661459
2003.0,1.0,49.5015380859375
2003.0,2.0,50.206035698784724
2003.0,3.0,52.5621826171875
2003.0,4.0,53.93176133897569
2003.0,5.0,54.31340060763889
2003.0,6.0,56.04449327256945
2003.0,7.0,58.01828070746528
2003.0,8.0,58.5455810546875
