,oldMonth,OldTemp,Month,Temp
0,January,61.00836847993113,April,61.97788056739861
1,February,60.4250761296512,May,63.53932264905898
2,March,60.96728023974296,June,64.76035282144329
3,April,61.97788056739861,July,66.02215153499144
4,May,63.53932264905898,August,66.48849801797998
5,June,64.76035282144329,September,66.00267125173178
6,July,66.02215153499144,October,65.53398431632976
7,August,66.48849801797998,November,63.922361796298915
8,September,66.00267125173178,December,61.96597485360661
9,October,65.53398431632976,January,61.00836847993113
10,November,63.922361796298915,February,60.4250761296512
11,December,61.96597485360661,March,60.96728023974296
