oldMonth,RF_in,Month,RF
January,5.2168944612489545,May,3.952399111844715
February,4.487894250570648,June,4.501118333829056
March,6.00529851823596,July,4.113196192979071
April,5.424034839574673,August,3.879945415596733
May,3.952399111844715,September,2.7720410349561413
June,4.501118333829056,October,3.0779248147717553
July,4.113196192979071,November,4.512979106704754
August,3.879945415596733,December,5.694374178746674
September,2.7720410349561413,January,5.2168944612489545
October,3.0779248147717553,February,4.487894250570648
November,4.512979106704754,March,6.00529851823596
December,5.694374178746674,April,5.424034839574673
