,oldMonth,OldTemp,Month,Temp
0,January,59.08224163673177,May,61.54937106043936
1,February,58.422924463607856,June,62.79973749756381
2,March,58.93659391846048,July,64.13426245616847
3,April,59.935151942380585,August,64.5609755990485
4,May,61.54937106043936,September,63.99927149102185
5,June,62.79973749756381,October,63.573230714764925
6,July,64.13426245616847,November,61.956515205465806
7,August,64.5609755990485,December,59.99100846648718
8,September,63.99927149102185,January,59.08224163673177
9,October,63.573230714764925,February,58.422924463607856
10,November,61.956515205465806,March,58.93659391846048
11,December,59.99100846648718,April,59.935151942380585
