,Month,tmean_f
421,February,59.52951931423611
422,March,59.512331814236106
423,April,60.64970703125
424,May,60.978515625
425,June,62.89021809895833
426,July,64.27620171440972
427,August,64.87827690972222
428,September,63.889035373263894
429,October,63.062367078993056
430,November,61.81896701388889
431,December,60.449557834201386
432,January,59.59017740885417
