,oldMonth,oldET,Month,ET
0,January,2.511985857928241,June,2.320665064102564
1,February,2.605707042523449,July,2.653462329200405
2,March,2.586151152402851,August,2.677421057674964
3,April,2.626371837797619,September,2.8326956632295173
4,May,2.937513618326119,October,2.4503233711487793
5,June,2.320665064102564,November,2.3484265892621874
6,July,2.653462329200405,December,2.020150588768116
7,August,2.677421057674964,January,2.511985857928241
8,September,2.8326956632295173,February,2.605707042523449
9,October,2.4503233711487793,March,2.586151152402851
10,November,2.3484265892621874,April,2.626371837797619
11,December,2.020150588768116,May,2.937513618326119
