oldMonth,RF_in,Month,RF
January,3.118482212817631,May,4.316881779503285
February,2.6293607091944278,June,2.8457479957377063
March,3.3587887612027227,July,3.832819395445353
April,3.463160947535524,August,3.6293042589182574
May,4.316881779503285,September,3.68408069123518
June,2.8457479957377063,October,2.9562813910282197
July,3.832819395445353,November,2.26556597917597
August,3.6293042589182574,December,2.4272579292321947
September,3.68408069123518,January,3.118482212817631
October,2.9562813910282197,February,2.6293607091944278
November,2.26556597917597,March,3.3587887612027227
December,2.4272579292321947,April,3.463160947535524
