oldMonth,oldNDVI,Month,NDVI
January,0.6144452422342183,November,0.5820455913779177
February,0.6227723901065779,December,0.6477672840636454
March,0.5422566324398841,January,0.6144452422342183
April,0.5065285681772549,February,0.6227723901065779
May,0.4238546014624556,March,0.5422566324398841
June,0.39191528104762174,April,0.5065285681772549
July,0.46513843536376953,May,0.4238546014624556
August,0.44675405480583164,June,0.39191528104762174
September,0.4469229344062769,July,0.46513843536376953
October,0.5157031623853577,August,0.44675405480583164
November,0.5820455913779177,September,0.4469229344062769
December,0.6477672840636454,October,0.5157031623853577
