Year,Month,Day,RF_in
2025,7,1,0.038515363314808364
2025,7,2,0.05223374446951591
2025,7,3,0.00872614409887166
2025,7,4,0.00047967572294264714
2025,7,5,0.0017841567772522004
2025,7,6,0.0032331529344566323
2025,7,7,0.0005956702321822852
2025,7,8,0.0003053965391936126
2025,7,9,0.0009299281782133768
2025,7,10,1.3322003253287368e-07
2025,7,11,0.010150590698028593
2025,7,12,0.08213138515427543
2025,7,13,0.00117141929070966
2025,7,14,0.07066730578253728
2025,7,15,0.0010426475318722535
2025,7,16,0.0023882618749571623
2025,7,17,0.008172721896167398
2025,7,18,0.021331420361480016
2025,7,19,0.019814430178225744
2025,7,20,0.020442774266372494
2025,7,21,0.006123671926144459
2025,7,22,0.0007397722106315054
2025,7,23,7.900661899603826e-06
2025,7,24,0.03128280928893491
2025,7,25,0.0023404970407323727
2025,7,26,0.0051179974677322375
2025,7,27,0.03931547446560093
2025,7,28,0.1526619521918213
2025,7,29,0.0031683796567148334
2025,7,30,0.0002868850875250786
2025,7,31,0.022950254469788364
