oldMonth,RF_in,Month,RF
January,4.915250057263783,May,1.3398117532839622
February,3.687769440036597,June,0.7283850378130196
March,3.6210049027916327,July,1.2771585392834466
April,2.454451978162285,August,1.9741854270275225
May,1.3398117532839622,September,2.093583298546011
June,0.7283850378130196,October,3.081191014137259
July,1.2771585392834466,November,4.192299177663556
August,1.9741854270275225,December,3.949892492449692
September,2.093583298546011,January,4.915250057263783
October,3.081191014137259,February,3.687769440036597
November,4.192299177663556,March,3.6210049027916327
December,3.949892492449692,April,2.454451978162285
