oldMonth,oldNDVI,Month,NDVI
January,0.6641361142382209,November,0.6427923904230565
February,0.6350183161982783,December,0.6372583271544656
March,0.6114160419982156,January,0.6641361142382209
April,0.6473298865279354,February,0.6350183161982783
May,0.6259383575642323,March,0.6114160419982156
June,0.6273792933421484,April,0.6473298865279354
July,0.644249580071749,May,0.6259383575642323
August,0.6560170842937821,June,0.6273792933421484
September,0.6614488998369613,July,0.644249580071749
October,0.6546867475663608,August,0.6560170842937821
November,0.6427923904230565,September,0.6614488998369613
December,0.6372583271544656,October,0.6546867475663608
