,oldMonth,oldET,Month,ET
0,January,3.4675735075760024,June,5.290473971303339
1,February,3.744453810307018,July,5.512992096787864
2,March,4.10420957402058,August,5.371748959535358
3,April,4.542487980769231,September,5.104727655611229
4,May,5.049483960975874,October,4.183938383265534
5,June,5.290473971303339,November,3.6520388376775927
6,July,5.512992096787864,December,2.93983465463798
7,August,5.371748959535358,January,3.4675735075760024
8,September,5.104727655611229,February,3.744453810307018
9,October,4.183938383265534,March,4.10420957402058
10,November,3.6520388376775927,April,4.542487980769231
11,December,2.93983465463798,May,5.049483960975874
