,oldMonth,OldTemp,Month,Temp
0,January,71.27110817819829,May,74.1424923910899
1,February,71.09289189059548,June,75.20736171542501
2,March,71.78713003190566,July,76.08121794816171
3,April,72.86189160288181,August,76.75867272781228
4,May,74.1424923910899,September,76.67713312237811
5,June,75.20736171542501,October,75.98122024347391
6,July,76.08121794816171,November,74.39673705844652
7,August,76.75867272781228,December,72.4889396754088
8,September,76.67713312237811,January,71.27110817819829
9,October,75.98122024347391,February,71.09289189059548
10,November,74.39673705844652,March,71.78713003190566
11,December,72.4889396754088,April,72.86189160288181
