oldMonth,RF_in,Month,RF
January,10.613346136156439,May,7.35840629847249
February,9.77811664117422,June,6.230115707031028
March,12.074753400954238,July,7.753684284437299
April,8.838697670962109,August,8.963894479918812
May,7.35840629847249,September,8.164642031221629
June,6.230115707031028,October,8.920573204596334
July,7.753684284437299,November,11.940898951062639
August,8.963894479918812,December,12.66885337001946
September,8.164642031221629,January,10.613346136156439
October,8.920573204596334,February,9.77811664117422
November,11.940898951062639,March,12.074753400954238
December,12.66885337001946,April,8.838697670962109
