Year,Month,Day,RF_in
2026,3,1,0.0323442793036151
2026,3,2,0.0591693958643285
2026,3,3,0.051572693440684
2026,3,4,0.265128483424164
2026,3,5,0.0201913572741375
2026,3,6,0.0843262211208245
2026,3,7,0.3018482764863268
2026,3,8,0.1628930688982074
2026,3,9,0.0466490046813674
2026,3,10,0.0082427229074274
2026,3,11,0.7576940608254047
2026,3,12,0.0558347934720304
2026,3,13,1.4755592854224386
2026,3,14,7.253066484094002
2026,3,15,0.3598679863028731
2026,3,16,0.313966991579937
2026,3,17,3.063289404633883
2026,3,18,0.1330525615280891
2026,3,20,0.0034013524096735
2026,3,21,0.0338041213391484
2026,3,22,0.147764143448269
2026,3,23,2.0685149680725674
2026,3,24,0.4296947682090412
2026,3,27,0.0111011102038012
2026,3,28,0.2866018878784357
2026,3,29,0.0148643144333317
2026,3,30,0.09676572381204357
