,oldMonth,OldTemp,Month,Temp
0,January,70.07913057619497,April,71.91654641431721
1,February,69.9126548686145,May,73.52839679205738
2,March,70.49130737072326,June,75.32624372348688
3,April,71.91654641431721,July,76.30106508770166
4,May,73.52839679205738,August,77.07220828748488
5,June,75.32624372348688,September,76.97929495734952
6,July,76.30106508770166,October,75.94609601650276
7,August,77.07220828748488,November,73.61645414786376
8,September,76.97929495734952,December,71.43431967502408
9,October,75.94609601650276,January,70.07913057619497
10,November,73.61645414786376,February,69.9126548686145
11,December,71.43431967502408,March,70.49130737072326
