,oldMonth,oldET,Month,ET
0,January,3.243230994152047,June,5.059239530051151
1,February,3.471343480953541,July,5.227176296720061
2,March,4.042012952750545,August,4.881079659822866
3,April,4.545379545869883,September,4.46023097826087
4,May,5.040181198438805,October,3.8218811181032293
5,June,5.059239530051151,November,3.2554326372997715
6,July,5.227176296720061,December,2.7172504423044326
7,August,4.881079659822866,January,3.243230994152047
8,September,4.46023097826087,February,3.471343480953541
9,October,3.8218811181032293,March,4.042012952750545
10,November,3.2554326372997715,April,4.545379545869883
11,December,2.7172504423044326,May,5.040181198438805
