oldMonth,oldNDVI,Month,NDVI
January,0.6452958961769386,November,0.620035083912037
February,0.6413046679084684,December,0.6279560418776523
March,0.6104939703293788,January,0.6452958961769386
April,0.5975707598448026,February,0.6413046679084684
May,0.6223630153442267,March,0.6104939703293788
June,0.6469082918375418,April,0.5975707598448026
July,0.6362716461065715,May,0.6223630153442267
August,0.6263819492553827,June,0.6469082918375418
September,0.631596892194757,July,0.6362716461065715
October,0.6257016162926655,August,0.6263819492553827
November,0.620035083912037,September,0.631596892194757
December,0.6279560418776523,October,0.6257016162926655
