oldMonth,RF_in,Month,RF
January,6.17899138983675,May,3.591049972009117
February,5.040869183798966,June,3.0821709024935915
March,6.1660640309672345,July,3.6791246783265876
April,4.795621642584816,August,3.4554581263356354
May,3.591049972009117,September,3.181416003140585
June,3.0821709024935915,October,4.297449295424372
July,3.6791246783265876,November,5.567521568851684
August,3.4554581263356354,December,6.92681457640099
September,3.181416003140585,January,6.17899138983675
October,4.297449295424372,February,5.040869183798966
November,5.567521568851684,March,6.1660640309672345
December,6.92681457640099,April,4.795621642584816
