oldMonth,oldNDVI,Month,NDVI
January,0.6520418652193046,November,0.6061245887662158
February,0.6221253562267915,December,0.5821541717906057
March,0.556061999944993,January,0.6520418652193046
April,0.5926532147616742,February,0.6221253562267915
May,0.5852242666318772,March,0.556061999944993
June,0.5568467065026843,April,0.5926532147616742
July,0.5200963993923843,May,0.5852242666318772
August,0.5168221528939938,June,0.5568467065026843
September,0.5100293127786286,July,0.5200963993923843
October,0.5555647273122528,August,0.5168221528939938
November,0.6061245887662158,September,0.5100293127786286
December,0.5821541717906057,October,0.5555647273122528
