oldMonth,RF_in,Month,RF
January,5.0022806081804605,May,2.6277722384453353
February,4.135562687828155,June,2.07398727346661
March,5.19534471634004,July,2.381939002887185
April,3.391271187839391,August,2.278630433518066
May,2.6277722384453353,September,2.4064092049554553
June,2.07398727346661,October,4.040466178286544
July,2.381939002887185,November,4.337214204997512
August,2.278630433518066,December,4.4762947141516
September,2.4064092049554553,January,5.0022806081804605
October,4.040466178286544,February,4.135562687828155
November,4.337214204997512,March,5.19534471634004
December,4.4762947141516,April,3.391271187839391
