,oldMonth,OldTemp,Month,Temp
0,January,71.83350753540971,April,74.0289993256703
1,February,71.77043119678348,May,75.5950170192277
2,March,72.45220077207715,June,77.471322496564
3,April,74.0289993256703,July,78.32503244471373
4,May,75.5950170192277,August,79.06703813877829
5,June,77.471322496564,September,78.80553274293672
6,July,78.32503244471373,October,77.7956402900001
7,August,79.06703813877829,November,75.57530150311639
8,September,78.80553274293672,December,73.36108889070724
9,October,77.7956402900001,January,71.83350753540971
10,November,75.57530150311639,February,71.77043119678348
11,December,73.36108889070724,March,72.45220077207715
