,oldMonth,OldTemp,Month,Temp
0,January,57.61104078269922,May,60.02942608618844
1,February,56.89365396631471,June,61.30215888325844
2,March,57.38552958619487,July,62.69221642320919
3,April,58.37489025481165,August,63.08870943485556
4,May,60.02942608618844,September,62.46904900582814
5,June,61.30215888325844,October,62.0755817056199
6,July,62.69221642320919,November,60.454975552826326
7,August,63.08870943485556,December,58.482503458486
8,September,62.46904900582814,January,57.61104078269922
9,October,62.0755817056199,February,56.89365396631471
10,November,60.454975552826326,March,57.38552958619487
11,December,58.482503458486,April,58.37489025481165
