oldMonth,oldNDVI,Month,NDVI
January,0.6343422199767312,November,0.5702518208821615
February,0.5970319903338397,December,0.5928942946445794
March,0.5463109786422164,January,0.6343422199767312
April,0.5314681731511158,February,0.5970319903338397
May,0.5606418683884377,March,0.5463109786422164
June,0.5497597787681354,April,0.5314681731511158
July,0.537787112302137,May,0.5606418683884377
August,0.5538868627883317,June,0.5497597787681354
September,0.5360727898868514,July,0.537787112302137
October,0.5474673277518914,August,0.5538868627883317
November,0.5702518208821615,September,0.5360727898868514
December,0.5928942946445794,October,0.5474673277518914
