oldMonth,RF_in,Month,RF
January,7.232872144140536,May,5.9216671640371805
February,6.417570647996648,June,6.532950566350403
March,9.439164151987775,July,6.976213621040324
April,8.48426579681575,August,5.815239987523896
May,5.9216671640371805,September,4.372382260897508
June,6.532950566350403,October,4.490138505951387
July,6.976213621040324,November,6.556103429738671
August,5.815239987523896,December,8.387207252234901
September,4.372382260897508,January,7.232872144140536
October,4.490138505951387,February,6.417570647996648
November,6.556103429738671,March,9.439164151987775
December,8.387207252234901,April,8.48426579681575
