oldMonth,RF_in,Month,RF
January,5.706773811727012,May,3.138706904129276
February,4.661378022881161,June,1.8410480257411415
March,5.946462496357196,July,2.4002272156221043
April,3.9712190686405027,August,2.5322826076962994
May,3.138706904129276,September,2.38802561579809
June,1.8410480257411415,October,4.096253133467371
July,2.4002272156221043,November,5.324084863600257
August,2.5322826076962994,December,6.3424176232639535
September,2.38802561579809,January,5.706773811727012
October,4.096253133467371,February,4.661378022881161
November,5.324084863600257,March,5.946462496357196
December,6.3424176232639535,April,3.9712190686405027
