,oldMonth,OldTemp,Month,Temp
0,January,71.67650363527883,April,73.83994951169835
1,February,71.6041732172005,May,75.41012418505724
2,March,72.21984319558936,June,77.27934554989265
3,April,73.83994951169835,July,78.14434346337988
4,May,75.41012418505724,August,78.88851548699324
5,June,77.27934554989265,September,78.64209660612248
6,July,78.14434346337988,October,77.63011927917137
7,August,78.88851548699324,November,75.39999897083396
8,September,78.64209660612248,December,73.18865618471598
9,October,77.63011927917137,January,71.67650363527883
10,November,75.39999897083396,February,71.6041732172005
11,December,73.18865618471598,March,72.21984319558936
