,Month,Temp,datetime,Year
0,1.0,69.62160101996528,1990-01-01,
1,2.0,67.74424913194444,1990-02-01,
2,3.0,68.19116753472223,1990-03-01,
3,4.0,71.01128200954861,1990-04-01,
4,5.0,71.81935492621528,1990-05-01,
5,6.0,73.77580837673611,1990-06-01,
6,7.0,74.31313747829861,1990-07-01,
7,8.0,75.8111328125,1990-08-01,
8,9.0,76.36089952256944,1990-09-01,
9,10.0,75.11203884548611,1990-10-01,
10,11.0,73.48489583333333,1990-11-01,
11,12.0,70.43467339409722,1990-12-01,
12,1.0,68.53855523003472,1991-01-01,
13,2.0,69.97546115451388,1991-02-01,
14,3.0,68.67280815972222,1991-03-01,
15,4.0,70.73616807725693,1991-04-01,
16,5.0,72.1908447265625,1991-05-01,
17,6.0,73.22049153645834,1991-06-01,
18,7.0,74.61005859375001,1991-07-01,
19,8.0,75.60718315972221,1991-08-01,
20,9.0,75.31987575954861,1991-09-01,
21,10.0,74.5077365451389,1991-10-01,
22,11.0,74.11553819444444,1991-11-01,
23,12.0,71.36680230034722,1991-12-01,
24,1.0,68.53232964409722,1992-01-01,
25,2.0,68.28684895833334,1992-02-01,
26,3.0,69.22923448350694,1992-03-01,
27,4.0,70.81016710069444,1992-04-01,
28,5.0,72.77180989583334,1992-05-01,
29,6.0,74.70339626736111,1992-06-01,
30,7.0,75.18162434895834,1992-07-01,
31,8.0,76.27517361111111,1992-08-01,
32,9.0,76.19811197916667,1992-09-01,
33,10.0,75.09757486979167,1992-10-01,
34,11.0,73.06121961805556,1992-11-01,
35,12.0,71.93904351128472,1992-12-01,
36,1.0,67.5227511935764,1993-01-01,
37,2.0,67.29886610243057,1993-02-01,
38,3.0,68.58586697048611,1993-03-01,
39,4.0,71.32873806423612,1993-04-01,
40,5.0,71.6996310763889,1993-05-01,
41,6.0,74.16355523003472,1993-06-01,
42,7.0,75.21319444444444,1993-07-01,
43,8.0,75.87307942708334,1993-08-01,
44,9.0,75.7877658420139,1993-09-01,
45,10.0,74.34861924913194,1993-10-01,
46,11.0,71.68810492621527,1993-11-01,
47,12.0,69.98310004340277,1993-12-01,
48,1.0,67.5550998263889,1994-01-01,
49,2.0,69.6254123263889,1994-02-01,
50,3.0,69.19832628038195,1994-03-01,
51,4.0,70.40699327256945,1994-04-01,
52,5.0,72.28965386284722,1994-05-01,
53,6.0,73.81273328993055,1994-06-01,
54,7.0,75.7844997829861,1994-07-01,
55,8.0,76.7616427951389,1994-08-01,
56,9.0,76.89799262152778,1994-09-01,
57,10.0,75.18370496961805,1994-10-01,
58,11.0,72.95243598090278,1994-11-01,
59,12.0,69.78228081597223,1994-12-01,
60,1.0,68.73590223524306,1995-01-01,
61,2.0,68.72625325520833,1995-02-01,
62,3.0,70.23421223958334,1995-03-01,
63,4.0,70.76044650607639,1995-04-01,
64,5.0,71.88578287760417,1995-05-01,
65,6.0,74.17362196180557,1995-06-01,
66,7.0,75.61366916232639,1995-07-01,
67,8.0,75.77858072916666,1995-08-01,
68,9.0,75.8239990234375,1995-09-01,
69,10.0,75.18455946180556,1995-10-01,
70,11.0,74.09109700520834,1995-11-01,
71,12.0,72.77245279947917,1995-12-01,
72,1.0,71.26399468315972,1996-01-01,
73,2.0,68.74208441840278,1996-02-01,
74,3.0,68.62891710069445,1996-03-01,
75,4.0,72.66765407986111,1996-04-01,
76,5.0,73.51521538628472,1996-05-01,
77,6.0,75.80924479166666,1996-06-01,
78,7.0,76.57932942708334,1996-07-01,
79,8.0,76.71540256076389,1996-08-01,
80,9.0,76.463916015625,1996-09-01,
81,10.0,76.52464463975694,1996-10-01,
82,11.0,73.61998969184027,1996-11-01,
83,12.0,70.28627387152778,1996-12-01,
84,1.0,69.49640028211806,1997-01-01,
85,2.0,70.6659396701389,1997-02-01,
86,3.0,70.81800130208333,1997-03-01,
87,4.0,71.81380750868055,1997-04-01,
88,5.0,71.58966471354167,1997-05-01,
89,6.0,74.97535807291666,1997-06-01,
90,7.0,75.825830078125,1997-07-01,
91,8.0,76.24497612847222,1997-08-01,
