,oldMonth,OldTemp,Month,Temp
0,January,69.85646078221451,May,72.68078991009862
1,February,69.62240766863799,June,73.76725971287888
2,March,70.24568413307567,July,74.69500677081967
3,April,71.36160623662697,August,75.34300028298959
4,May,72.68078991009862,September,75.20573296760281
5,June,73.76725971287888,October,74.54114113276007
6,July,74.69500677081967,November,72.95291703103253
7,August,75.34300028298959,December,71.03842193912102
8,September,75.20573296760281,January,69.85646078221451
9,October,74.54114113276007,February,69.62240766863799
10,November,72.95291703103253,March,70.24568413307567
11,December,71.03842193912102,April,71.36160623662697
