oldMonth,RF_in,Month,RF
January,12.068052555269917,May,11.257254139445267
February,12.601396888748598,June,8.67849879513032
March,17.32819817194247,July,12.014237292742225
April,14.71472715190171,August,13.455411399335961
May,11.257254139445267,September,10.656466400415104
June,8.67849879513032,October,12.456911334234304
July,12.014237292742225,November,16.44186523630946
August,13.455411399335961,December,15.799360014272823
September,10.656466400415104,January,12.068052555269917
October,12.456911334234304,February,12.601396888748598
November,16.44186523630946,March,17.32819817194247
December,15.799360014272823,April,14.71472715190171
