oldMonth,oldNDVI,Month,NDVI
January,0.694447070463204,November,0.6605710780767747
February,0.6337923045217255,December,0.6466131252712674
March,0.5761963662983459,January,0.694447070463204
April,0.5882814485236564,February,0.6337923045217255
May,0.5806031132016087,March,0.5761963662983459
June,0.6020257429972447,April,0.5882814485236564
July,0.6001136105963987,May,0.5806031132016087
August,0.6033966638650197,June,0.6020257429972447
September,0.6418873713566706,July,0.6001136105963987
October,0.642730720136014,August,0.6033966638650197
November,0.6605710780767747,September,0.6418873713566706
December,0.6466131252712674,October,0.642730720136014
