Year,Month,Day,RF_in
2026,3,31,0.1855582371390316
2026,4,1,0.0337647506374189
2026,4,2,0.0698746927535208
2026,4,3,0.0765544364412266
2026,4,4,6.220039835383859e-08
2026,4,5,2.3252826031575203e-06
2026,4,6,0.0004100624866268
2026,4,7,3.2037636530785214
2026,4,8,0.2338347792382072
2026,4,9,0.0398723268179802
2026,4,10,0.7560369684963425
2026,4,11,0.205086312859981
2026,4,12,0.0010203834269291
2026,4,13,0.0130582887136497
2026,4,14,0.0
2026,4,15,0.0
2026,4,16,0.0
2026,4,17,1.2393758266576122e-06
2026,4,18,0.0702693861706143
2026,4,19,0.1541537298478966
2026,4,20,0.0529469300651383
2026,4,21,0.019345235764325577
