,oldMonth,OldTemp,Month,Temp
0,January,70.40923582393118,May,73.91723305086465
1,February,70.26221575405454,June,75.7299468383895
2,March,70.86027051844327,July,76.68183861441254
3,April,72.31402751199923,August,77.44755790834759
4,May,73.91723305086465,September,77.32292120729582
5,June,75.7299468383895,October,76.29410798673909
6,July,76.68183861441254,November,73.98503299095937
7,August,77.44755790834759,December,71.79686261090022
8,September,77.32292120729582,January,70.40923582393118
9,October,76.29410798673909,February,70.26221575405454
10,November,73.98503299095937,March,70.86027051844327
11,December,71.79686261090022,April,72.31402751199923
