oldMonth,RF_in,Month,RF
January,4.720392020921998,May,1.5070725033749746
February,3.915937818149874,June,0.9439579975426354
March,4.426747902782861,July,1.1198933023688664
April,2.2360250325039965,August,1.2154820367014534
May,1.5070725033749746,September,1.3880844700578305
June,0.9439579975426354,October,2.8554783154892527
July,1.1198933023688664,November,2.82387031121896
August,1.2154820367014534,December,4.440396709002009
September,1.3880844700578305,January,4.720392020921998
October,2.8554783154892527,February,3.915937818149874
November,2.82387031121896,March,4.426747902782861
December,4.440396709002009,April,2.2360250325039965
