oldMonth,oldNDVI,Month,NDVI
January,0.5025609461466471,November,0.45537543779538
February,0.5092621103922526,December,0.516505475456332
March,0.4869183801721643,January,0.5025609461466471
April,0.3966379564145805,February,0.5092621103922526
May,0.32805617288080485,March,0.4869183801721643
June,0.33855771882581576,April,0.3966379564145805
July,0.3502605860276326,May,0.32805617288080485
August,0.3191766892856116,June,0.33855771882581576
September,0.32331144481416213,July,0.3502605860276326
October,0.38091425157566916,August,0.3191766892856116
November,0.45537543779538,September,0.32331144481416213
December,0.516505475456332,October,0.38091425157566916
