,oldMonth,OldTemp,Month,Temp
0,January,67.14228434806739,February,66.80860819561542
1,February,66.80860819561542,March,67.42244395420528
2,March,67.42244395420528,April,68.4617924952785
3,April,68.4617924952785,May,69.88543087522156
4,May,69.88543087522156,June,71.02032336900842
5,June,71.02032336900842,July,72.05029887984124
6,July,72.05029887984124,August,72.6468913226178
7,August,72.6468913226178,September,72.4032203900546
8,September,72.4032203900546,October,71.80057780857602
9,October,71.80057780857602,November,70.21556635198205
10,November,70.21556635198205,December,68.24544964817198
11,December,68.24544964817198,January,67.14228434806739
