oldMonth,RF_in,Month,RF
January,2.431152918486784,May,1.8381076176013207
February,1.6571614567931883,June,1.490897760937488
March,2.1756014643685595,July,1.4917431754621415
April,2.0535804918207567,August,1.3341896050985773
May,1.8381076176013207,September,1.6733881402854114
June,1.490897760937488,October,1.8334180511630105
July,1.4917431754621415,November,1.3882519111612381
August,1.3341896050985773,December,1.5889646949042435
September,1.6733881402854114,January,2.431152918486784
October,1.8334180511630105,February,1.6571614567931883
November,1.3882519111612381,March,2.1756014643685595
December,1.5889646949042435,April,2.0535804918207567
