oldMonth,oldNDVI,Month,NDVI
January,0.5054441282484267,November,0.3540757221645779
February,0.48977957275178696,December,0.4370278226004707
March,0.4372845122549269,January,0.5054441282484267
April,0.3788717409484406,February,0.48977957275178696
May,0.4324948013338268,March,0.4372845122549269
June,0.3841509472610604,April,0.3788717409484406
July,0.34050409916119695,May,0.4324948013338268
August,0.3869400218001798,June,0.3841509472610604
September,0.3886191936639639,July,0.34050409916119695
October,0.3889724245438209,August,0.3869400218001798
November,0.3540757221645779,September,0.3886191936639639
December,0.4370278226004707,October,0.3889724245438209
