oldMonth,RF_in,Month,RF
January,10.106331932888883,May,5.559468128687519
February,7.771686780994771,June,3.656202876817165
March,10.944875068279966,July,6.200734511290591
April,7.536980969285093,August,4.32436166358814
May,5.559468128687519,September,5.165205208217266
June,3.656202876817165,October,7.555441118919589
July,6.200734511290591,November,6.706552210948082
August,4.32436166358814,December,10.798575426289746
September,5.165205208217266,January,10.106331932888883
October,7.555441118919589,February,7.771686780994771
November,6.706552210948082,March,10.944875068279966
December,10.798575426289746,April,7.536980969285093
