Year,Month,Day,RF_in
2025,11,1,0.1215083093607033
2025,11,2,0.1460001936132224
2025,11,3,5.353058556072494e-05
2025,11,4,0.2598861467389818
2025,11,5,0.1107046951111498
2025,11,6,0.0371354307877585
2025,11,7,0.7765313006935332
2025,11,8,0.0136157872320623
2025,11,9,0.0764207162279492
2025,11,10,0.0019239865969879
2025,11,11,0.0978030233233921
2025,11,12,0.0169446427330535
2025,11,13,0.1264860758202479
2025,11,14,0.4626731542522571
2025,11,15,0.4660632546121622
2025,11,16,0.0934425725572552
2025,11,17,0.0015217717655478
2025,11,18,0.002422198802421
2025,11,19,0.0053373212379536
2025,11,20,0.0045888954897576
2025,11,21,0.2269632215806737
2025,11,22,0.004720749979732
2025,11,23,0.1283678003079205
2025,11,24,0.0119728790354401
2025,11,25,0.0016537437613253
2025,11,26,0.0038942549519999
2025,11,27,0.0032742660595143
2025,11,28,0.0
2025,11,29,0.0053577055976981
2025,11,30,0.0
2025,12,2,0.011302232858193
2025,12,3,0.0045308485501151
2025,12,4,0.0
2025,12,5,0.0001685545710325
2025,12,6,0.0876649767754318
2025,12,7,0.0116980155795751
2025,12,8,0.0064219405911366
2025,12,9,0.0022368624848411
2025,12,10,0.0138207349668754
2025,12,11,0.0085873806385045
2025,12,12,7.067778500567793e-05
2025,12,13,0.0002008376680542
2025,12,14,0.7439986783607345
2025,12,15,0.0031330792447551
2025,12,16,0.003844704817576
2025,12,17,0.0014194965223488
2025,12,18,0.0160940453414494
2025,12,19,0.000841004039382
2025,12,20,0.0431343101604554
2025,12,21,0.1831377900306136
2025,12,22,0.4878653897782092
2025,12,23,0.1681273215549662
2025,12,24,0.065141850105583
2025,12,25,0.000707284579347
2025,12,26,0.0257770074425511
2025,12,27,0.035438133396235
2025,12,28,0.0258849329302722
2025,12,29,0.0146085634006289
2025,12,30,0.5259937617525456
