oldMonth,oldNDVI,Month,NDVI
January,0.6267654739191503,November,0.5929082253538531
February,0.5246860777301553,December,0.6218254814618899
March,0.4500621371799045,January,0.6267654739191503
April,0.3302368649050721,February,0.5246860777301553
May,0.3139341857924647,March,0.4500621371799045
June,0.31392012430392097,April,0.3302368649050721
July,0.393696654556144,May,0.3139341857924647
August,0.45048620218564983,June,0.31392012430392097
September,0.4651209232587533,July,0.393696654556144
October,0.5459120425290418,August,0.45048620218564983
November,0.5929082253538531,September,0.4651209232587533
December,0.6218254814618899,October,0.5459120425290418
