oldMonth,RF_in,Month,RF
January,4.4327420783711196,May,6.833106372213293
February,3.152433567721522,June,7.348212418393478
March,5.549109906768845,July,6.022648026630186
April,6.375663855894886,August,6.093005084977636
May,6.833106372213293,September,6.433751804804055
June,7.348212418393478,October,5.121776417415778
July,6.022648026630186,November,3.5531563883750574
August,6.093005084977636,December,3.2068800612885924
September,6.433751804804055,January,4.4327420783711196
October,5.121776417415778,February,3.152433567721522
November,3.5531563883750574,March,5.549109906768845
December,3.2068800612885924,April,6.375663855894886
