,oldMonth,tmean_f,Month,Temp
0,January,66.05861097914321,February,65.67522334346066
1,February,65.67522334346066,March,66.32175632052952
2,March,66.32175632052952,April,67.31467692057292
3,April,67.31467692057292,May,68.50838947060669
4,May,68.50838947060669,June,69.66674036096644
5,June,69.66674036096644,July,70.88297789773824
6,July,70.88297789773824,August,71.49645265178917
7,August,71.49645265178917,September,71.19854834285783
8,September,71.19854834285783,October,70.5672960822965
9,October,70.5672960822965,November,68.99688487111786
10,November,68.99688487111786,December,67.09018848560476
11,December,67.09018848560476,January,66.05861097914321
