,oldMonth,OldTemp,Month,Temp
0,January,70.17620726667593,May,73.17898594293955
1,February,69.99526972219685,June,74.23266808154723
2,March,70.62534238897167,July,75.10591657607671
3,April,71.90760480622284,August,75.7514265915798
4,May,73.17898594293955,September,75.65611832748958
5,June,74.23266808154723,October,74.98376707831376
6,July,75.10591657607671,November,73.41204596255619
7,August,75.7514265915798,December,71.52885005929204
8,September,75.65611832748958,January,70.17620726667593
9,October,74.98376707831376,February,69.99526972219685
10,November,73.41204596255619,March,70.62534238897167
11,December,71.52885005929204,April,71.90760480622284
