oldMonth,RF_in,Month,RF
January,11.413948390760375,May,9.790921214784774
February,11.971651704521715,June,5.856880753990451
March,16.382443580944987,July,9.659092085112722
April,15.379163673346948,August,11.247006595950982
May,9.790921214784774,September,7.063313743498431
June,5.856880753990451,October,9.735345306722524
July,9.659092085112722,November,13.863635214648143
August,11.247006595950982,December,13.216099739283067
September,7.063313743498431,January,11.413948390760375
October,9.735345306722524,February,11.971651704521715
November,13.863635214648143,March,16.382443580944987
December,13.216099739283067,April,15.379163673346948
