oldMonth,oldNDVI,Month,NDVI
January,0.6270199921551872,November,0.5811302392623003
February,0.5716723099876853,December,0.6276579957849839
March,0.4806571247998406,January,0.6270199921551872
April,0.5107483022353227,February,0.5716723099876853
May,0.552893579815308,March,0.4806571247998406
June,0.5736992267461923,April,0.5107483022353227
July,0.5312390435335324,May,0.552893579815308
August,0.5424233464633718,June,0.5736992267461923
September,0.5842963624324194,July,0.5312390435335324
October,0.5477751166437546,August,0.5424233464633718
November,0.5811302392623003,September,0.5842963624324194
December,0.6276579957849839,October,0.5477751166437546
