oldMonth,oldNDVI,Month,NDVI
January,0.6991954586829668,November,0.687934442214024
February,0.643576279628424,December,0.6713654459258656
March,0.6528195115077642,January,0.6991954586829668
April,0.6789698134347132,February,0.643576279628424
May,0.6832121770266455,March,0.6528195115077642
June,0.6797731241948923,April,0.6789698134347132
July,0.6621456925119543,May,0.6832121770266455
August,0.7061534747552103,June,0.6797731241948923
September,0.7225582488694875,July,0.6621456925119543
October,0.6977631568003019,August,0.7061534747552103
November,0.687934442214024,September,0.7225582488694875
December,0.6713654459258656,October,0.6977631568003019
