oldMonth,RF_in,Month,RF
January,10.933959863455055,May,8.710959314142684
February,10.44413347344828,June,6.8961604942015144
March,13.268577550515879,July,9.054276397334586
April,11.8890652263145,August,9.940539610807646
May,8.710959314142684,September,9.034687091220475
June,6.8961604942015144,October,10.752924709630408
July,9.054276397334586,November,13.435985769819077
August,9.940539610807646,December,12.575066542673136
September,9.034687091220475,January,10.933959863455055
October,10.752924709630408,February,10.44413347344828
November,13.435985769819077,March,13.268577550515879
December,12.575066542673136,April,11.8890652263145
